Name,Birthname,Gender,Date of Birth,Place of Birth,Timezone,Data Source,Rodden Rating,Collector,Sun Position,Moon Position,Asc pos,Career 
"Aafjes, Bertus",,M,12 May 1914 at 20:00(= 8:00 PM ),"Amsterdam, Netherlands,52n22,  4e54",AMT,Accuracy in question,C,Lescaut,21°13,01°17,25°22, Writers 
"Aage, Count of Rosenborg",Aage Christian Alexander Robert,M,10 June 1887 at 13:00(= 1:00 PM ),"Copenhagen, Denmark,55n40,  12e35",LMT,News report,A,Scholfield,19°15,15°16,02°21, Military 
"Aakvik, Liv",,F,23 June 1948 at 19:15(= 7:15 PM ),"Oslo, Norway,59n55,  10e45",CET,BC/BR in hand,AA,Viktor,02°09,27°28,05°54, Entertainment 
"Van Aal-Pomarès, Henri François","Van Aal, Enrique Francisco",M,4 January 1933 at 12:30(= 12:30 PM ),"Alicante, Spain,38n21,  0w29",GMT,Quoted BC/BR,AA,De Marre,13°44,22°59,03°01, Entertainment 
"Aalberg, André",,M,5 June 1913 at 08:30(= 08:30 AM ),"Ste.Marie aux Mines, France,48n15,  7e11",MET,BC/BR in hand,AA,Geslain,14°01,20°07,03°39, Military 
"Aalderen, Herman Jan van",,M,4 October 1886 at 03:00(= 03:00 AM ),"Zwolle, Netherlands,52n31,  6e06",LMT,BC/BR in hand,AA,Astrodienst,10°48,01°14,07°35, Military 
"Aalders, Willem Jan",,M,19 September 1870 at 21:00(= 9:00 PM ),"Amsterdam, Netherlands,52n22,  4e54",LST,BC/BR in hand,AA,Astrodienst,26°41,17°09,17°50, Education 
Aaliyah,Aaliyah Dana Haughton,F,16 January 1979 at 08:43(= 08:43 AM ),"Brooklyn (Kings County), New York,40n38,  73w56",EST,Conflicting/unverified,DD,Rodden,25°50,01°15,22°30, Beauty 
"Aall, Carlo",Carlo Leandro Aall,M,14 September 1962 at 11:40(= 11:40 AM ),"Oslo, Norway,59n55,  10e45",CEST,BC/BR in hand,AA,Viktor,21°06,24°21,06°15, Education 
"Aames, Willie",Albert William Upton,M,15 July 1960 at 21:05(= 9:05 PM ),"Newport Beach, California,33n37,  117w56",PDT,BC/BR in hand,AA,Angel,23°37,29°37,13°14, Entertainment 
"Aanderaa, Rune",,M,4 June 1959 at 20:25(= 8:25 PM ),"Oslo, Norway,59n55,  10e45",CEST,BC/BR in hand,AA,Viktor,13°23,24°29,25°11, Science 
"Aantjes, Willem",,M,16 January 1923 at 13:00(= 1:00 PM ),"Bleskensgraaf, Netherlands,51n52,  4e47",AMT,Orig source not known,C,Rodden,25°23,18°17,12°51, Politics 
"Aarflot, Franzisca",Maria Franzisca Ræder Aarflot,F,20 May 1963 at 15:55(= 3:55 PM ),"Oslo, Norway,59n55,  10e45",CEST,BC/BR in hand,AA,Viktor,28°50,22°12,04°22, Entertain/Business 
"Aaron, Dave",,M,13 October 1942 at 00:01(= 12:01 AM ),"Mount Clemens, Michigan,42n36,  82w53",EWT,From memory,A,Rodden,19°11,28°42,18°50, Business 
"Aaron, Didier",Didier Adolphe Aaron,M,27 April 1923 at 15:35(= 3:35 PM ),"Paris, France,48n52,  2e20",GMT,BC/BR in hand,AA,Geslain,06°21,20°40,00°30, Art 
"Aaron, Hank",Henry Louis Aaron,M,5 February 1934 at 20:25(= 8:25 PM ),"Mobile, Alabama,30n42,  88w03",CST,Quoted BC/BR,AA,Gauquelin,16°37,00°30,24°34, Sports 
"Aaron, Harold Robert",,M,21 June 1921 at 07:00(= 07:00 AM ),"Kokomo, Indiana,40n29,  86w08",CST,BC/BR in hand,AA,Scholfield,29°35,12°19,03°16, Military 
"Aaron, Jean-Claude",,M,2 August 1916 at 03:00(= 03:00 AM ),"Marseille, France,43n18,  5e24",GDT,BC/BR in hand,AA,Geslain,09°26,12°31,08°44, Building Trades 
"Aarts, Johannes Josephus",,M,26 November 1871 at 03:00(= 03:00 AM ),"Den Haag, Netherlands,52n05,  4e19",LMT,BC/BR in hand,AA,Scholfield,03°26,22°48,13°42, Art 
"Aas, Anne Lise",,F,1 April 1925 at 05:50(= 05:50 AM ),"Oslo, Norway,59n55,  10e45",CET,BC/BR in hand,AA,Viktor,10°57,09°26,09°50, Building Trades 
"Aas, Arne",Arne Martin Aas,M,7 July 1931 at 07:00(= 07:00 AM ),"Oslo, Norway,59n55,  10e45",CET,BC/BR in hand,AA,Viktor,14°10,06°04,19°51, Entertainment 
"Aas, Roald",Roald Edgar Aas,M,25 March 1928 at 10:00(= 10:00 AM ),"Oslo, Norway,59n55,  10e45",MET,BC/BR in hand,AA,Viktor,04°28,23°23,13°33, Business 
"Aas, Ulf",,M,14 September 1919 at 11:00(= 11:00 AM ),"Oslo, Norway,59n55,  10e45",MET,BC/BR in hand,AA,Viktor,20°32,17°42,08°58, Writers 
"Aasen, Kristin Kloster",,F,4 January 1961 at 18:20(= 6:20 PM ),"Oslo, Norway,59n55,  10e45",CET,BC/BR in hand,AA,Viktor,14°08,14°00,13°38, Business 
"Aasen, May-Irene",,F,3 November 1963 at 06:30(= 06:30 AM ),"Oslo, Norway,59n55,  10e45",CET,BC/BR in hand,AA,Viktor,10°04,03°36,27°54, Art 
"Aavikko, Armi",,F,1 September 1958 at 09:15(= 09:15 AM ),"Helsinki, Finland,60n10,  24e58",EET,From memory,A,Tarvainen,08°21,12°14,14°40, Beauty 
"Abad, Andy",,M,11 November 1968 at 15:53(= 3:53 PM ),"Hollywood, California,34n06,  118w20",PST,From memory,A,Rodden,19°40,04°07,01°32, Entertain/Music 
"Abadie, Daniel",Daniel Georges Abadie,M,8 July 1945 at 09:35(= 09:35 AM ),"Courbevoie, France,48n54,  2e15",WEMT,BC/BR in hand,AA,Geslain,15°46,29°39,25°08, Art 
"Abadie, Joseph",Joseph Louis Irenée Jean Abadie,M,15 December 1873 at 16:00(= 4:00 PM ),"Tarbes, France,43n14,  0e05",LMT,Quoted BC/BR,AA,Gauquelin,23°49,04°54,18°51, Healing Fields 
"Abadie, Jules",Jean Baptiste Marie Jules Abadie,M,12 August 1876 at 23:00(= 11:00 PM ),"Blaye et Ste.Luce, France,45n08,  0w39",LMT,Quoted BC/BR,AA,Lescaut,20°29,21°04,00°43, Medical 
"Abagnale, Frank","Abagnale, Frank William",M,27 April 1948,"Bronxville, New York,40n56,  73w50",EDT,Date in question,XX,Rodden,,,,
"Abair, Mindi",,F,23 May 1969 at 16:43(= 4:43 PM ),"St.Petersburg, Florida,27n46,  82w41",EDT,News report,A,Scholfield,02°31,25°13,17°08, Entertainment 
"Abalan, Michel",Michel Henri Charles Marie Abalan,M,5 June 1920 at 23:00(= 11:00 PM ),"Brest, France,48n24,  4w29",GDT,BC/BR in hand,AA,Geslain,14°53,00°41,09°59, Military 
"Abalo, Luc",Luc Kangny Abalo,M,6 September 1984 at 16:40(= 4:40 PM ),"Ivry, France,48n49,  2e23",MEDT,BC/BR in hand,AA,Geslain,14°10,03°19,28°40, Sports 
"Abarbanell, Lina",Caroline Abarbanell,F,3 January 1879 at 22:00(= 10:00 PM ),"Berlin, Germany,52n29,  13e21",LMT,BC/BR in hand,AA,Scholfield,13°11,19°13,18°15, Entertainment 
"Abascal Infante, Salvador",,M,18 May 1910 at 22:00(= 10:00 PM ),"Morelia, Mexico,19n42,  101w07",LMT,Quoted BC/BR,AA,Castellanos,27°19,02°29,16°06, Politics 
"Abatantuono, Diego",,M,20 May 1955 at 02:00(= 02:00 AM ),"Milano, Italy,45n28,  9e12",MET,Quoted BC/BR,AA,Bordoni,28°16,02°22,12°54, Entertainment 
"Abati, Joël",Joël Marc Abati,M,25 April 1970 at 10:45(= 10:45 AM ),"Fort-de-France, Martinique,14n36,  61w05",AST,BC/BR in hand,AA,Geslain,04°58,24°23,17°59, Sports 
"Abba, Marta",,F,25 June 1900 at 23:00(= 11:00 PM ),"Milano, Italy,45n28,  9e12",MET,Quoted BC/BR,AA,Bordoni,03°50,19°47,27°53, Entertainment 
"Abbado, Claudio",,M,26 June 1933 at 02:00(= 02:00 AM ),"Milan, Italy,45n28,  9e12",MET,Quoted BC/BR,AA,Bordoni,03°58,06°55,19°03, Entertain/Music 
"Abbado, Marcello",,M,7 October 1926 at 07:00(= 07:00 AM ),"Milan, Italy,45n28,  9e12",MET,Quoted BC/BR,AA,Bordoni,13°13,16°49,18°22, Education 
"Abbagnale, Agostino",,M,25 August 1966 at 11:15(= 11:15 AM ),"Pompei, Italy,40n45,  14e30",MEDT,Quoted BC/BR,AA,Bordoni,01°44,28°46,28°47, Sports 
"Abbagnano, Nicola",,M,15 July 1901 at 21:15(= 9:15 PM ),"Salerno, Italy,40n41,  14e47",MET,Quoted BC/BR,AA,Bordoni,22°36,21°33,29°01, Writers 
"Abballa, Larossi",,M,28 March 1991 at 20:40(= 8:40 PM ),"Meulan, France,49n01,  1e54",MET,Quoted BC/BR,AA,Geslain,07°37,19°17,23°39,
"Abbamonte, Mary Francis",,F,5 April 1946 at 14:44(= 2:44 PM ),"Montclair, New Jersey,40n50,  74w13",EST,From memory,A,Rodden,15°25,05°41,02°35, Occult Fields 
"Abbas, Ferhat",Ferhat Mekki Abbas,M,24 August 1899 at 16:00(= 4:00 PM ),"Taher, Algeria,36n4619,  5e5354",PMT,BC/BR in hand,AA,Scholfield,01°13,19°33,16°55, Politics 
"Abbas, Khwaja Ahmad",,M,7 June 1914 at 23:59(= 11:59 PM ),"Hariana, India,31n38,  75e51",IST,Bio/autobiography,B,Scholfield,16°08,09°59,28°48, Entertain/Business 
"Abbate, Paolo",,M,12 April 1884 at 01:00(= 01:00 AM ),"Villarosa, Italy,37n35,  14e10",LST,BC/BR in hand,AA,Steinbrecher,22°29,09°09,16°29, Art 
"Abbe, Ernst",,M,23 January 1840 at 21:30(= 9:30 PM ),"Eisenach/Thür., Germany,50n59,  10e19",LMT,Quoted BC/BR,AA,Müller,03°00,02°57,26°17, Business 
"Abbéma, Louise",,F,30 October 1853 at 16:00(= 4:00 PM ),"Étampes, France,48n26,  2e09",LMT,BC/BR in hand,AA,Michiels,07°10,13°54,18°38, Art 
"Abbett, Robert K.",Robert Kennedy Abbett,M,5 January 1926 at 15:15(= 3:15 PM ),"Hammond, Indiana,41n35,  87w30",CST,BC/BR in hand,AA,Scholfield,14°48,28°45,28°42, Art 
"Abbey, Edward",Edward Paul Abbey,M,29 January 1927 at 22:30(= 10:30 PM ),"Indiana, Pennsylvania,40n37,  79w09",EST,Quoted BC/BR,AA,Scholfield,09°15,26°47,09°19, Politics 
"Abbiati, Christian",,M,8 July 1977 at 00:40(= 12:40 AM ),"Abbiategrasso, Italy,45n24,  8e54",CEST,Quoted BC/BR,AA,Bordoni,15°40,12°50,09°04, Sports 
"Abbot, Agnes Anne",,F,19 August 1897 at 18:30(= 6:30 PM ),"Potsdam, Germany,52n24,  13e04",MET,BC/BR in hand,AA,Steinbrecher,26°56,20°07,04°53, Art 
"Abbott, Dale",,M,7 October 1965 at 23:06(= 11:06 PM ),"Worcester, Massachusetts,42n16,  71w48",EDT,Quoted BC/BR,AA,McEvoy,14°38,16°09,12°39,
"Abbott, Delila",Mary Delina Richards,F,4 November 1908 at 09:10(= 09:10 AM ),"West Jordan, Utah,40n37,  111w56",MST,BC/BR in hand,AA,Scholfield,11°51,22°52,06°19, Politics 
"Abbott, Isabella",Isabella Kauakea Yau Yung Aiona,F,20 June 1919 at 00:20(= 12:20 AM ),"Hana, Hawaii,20n45,  155w59",HST,BC/BR in hand,AA,Scholfield,28°03,18°05,05°22, Education 
"Abbott, Jennifer","Claar, Jennifer",F,28 February 1971 at 05:59(= 05:59 AM ),"Ware, Massachusetts,42n16,  72w14",EST,Quoted BC/BR,AA,McEvoy,09°13,22°07,25°51,
"Abbott, Jess",,F,4 June 1991 at 21:24(= 9:24 PM ),"Sacramento, California,38n35,  121w30",PDT,BC/BR in hand,AA,Scholfield,14°02,08°40,27°36, Entertain/Music 
"Abbott, Josh",Joshua David Abbott,M,20 July 1980 at 20:51(= 8:51 PM ),"Gatesville, Texas,31n26,  97w45",CDT,From memory,A,Scholfield,28°27,07°39,04°23, Entertain/Music 
"Abbott, Karen",,F,23 January 1973 at 00:00(= 12:00 midnight ),"Philadelphia, Pennsylvania,39n57,  75w10",EST,Accuracy in question,C,Scholfield,03°04,28°14,25°40, Writers 
"Abbott, Kenneth Roy",,M,30 April 1998 at 03:55(= 03:55 AM ),"Orange, California,33n47,  117w51",PDT,News report,A,Rodden,09°54,04°01,20°56,
"Abbott, Kyle",Kyle Jim Abbott,M,18 February 1968 at 09:55(= 09:55 AM ),"Newburyport, Massachusetts,42n49,  70w53",EST,Quoted BC/BR,AA,Conrad,29°01,25°48,20°17, Sports 
"Abbott, Monica",Monica Cecilia Abbott,F,28 July 1985 at 08:46(= 08:46 AM ),"Santa Cruz, California,36n58,  122w02",PDT,News report,A,Scholfield,05°30,23°49,06°01, Sports 
"Abbott, Nelson",Nelson T. Abbott,M,30 January 1966 at 22:31(= 10:31 PM ),"Escondido, California,33n07,  117w05",PST,News report,A,Scholfield,10°56,28°13,17°33, Law 
"Abbott, Roger",,M,10 July 1946 at 03:00(= 03:00 AM ),"Birkenhead, England,53n24,  3w02",GDT,From memory,A,McKay-Clements,17°13,29°50,20°15, Entertainment 
"Abbott, Tommy",Tom Shaw Abbott,M,4 November 1934 at 07:00(= 07:00 AM ),"Waco, Texas,31n33,  97w09",CST,BC/BR in hand,AA,Scholfield,11°26,09°07,13°21, Entertainment 
"Abbott, Tony",Anthony John Abbott,M,4 November 1957 at 04:00(= 04:00 AM ),"London, England,51n30,  0w10",GMT,From memory,A,Starkman,11°29,02°59,09°09, Business 
"Abbott Cook, Tracy",Tracy Abbot,F,9 December 1957 at 12:41(= 12:41 PM ),"Los Angeles, California,34n03,  118w15",PST,From memory,A,Rodden,17°32,20°17,00°30, Occult Fields 
"Abboud, Joseph",,M,5 May 1950 at 19:05(= 7:05 PM ),"Boston, Massachusetts,42n22,  71w04",EDT,Quoted BC/BR,AA,McEvoy,14°52,07°11,07°36, Beauty 
"Abboud, Robert","Abboud, A. Robert",M,29 May 1929,"Boston, Massachusetts,42n22,  71w04",EDT,Date w/o time,X,Hewitt,,,, Business 
Abd-Ru-Shin,"Bernhardt, Oskar Ernst",M,18 April 1875 at 13:14(= 1:14 PM ),"Bischofswerda, Germany,51n07,  14e10",LMT,Rectified from approx. time,C,Rodden,28°03,04°05,28°02, Occult Fields 
"Abd el Farrag, Nadja",,F,5 March 1965 at 11:55(= 11:55 AM ),"Hamburg, Germany,53n33,  9e59",MET,From memory,A,Gregor,14°40,08°42,10°51, Entertainment 
"Abdelmahmoud, Elamin",,M,10 March 1988 at 02:00(= 02:00 AM ),"Khartoum, Sudan,15n36,  32e32",CAT,Rectified from approx. time,C,Scholfield,19°38,01°39,12°34, Entertainment 
"Abderrhamane, Bonnedienne",,M,26 November 1920 at 02:00(= 02:00 AM ),"Mostaganem, Algeria,35n51,  0e07",GMT,Quoted BC/BR,AA,Gauquelin,03°32,03°42,04°00, Sports 
"Abdeslam, Salah",,M,15 September 1989,"Brussels, Belgium,50n50,  4e20",MEDT,Date w/o time,X,Watt,,,, Misc. 
"Abdul, Paula",Julie Paula Abdul,F,19 June 1962 at 14:32(= 2:32 PM ),"Los Angeles, California,34n03,  118w15",PDT,BC/BR in hand,AA,Clifford,28°06,21°09,18°49, Entertain/Music 
"Abdul, Raoul Reheme",,M,7 November 1929 at 22:14(= 10:14 PM ),"Cleveland, Ohio,41n30,  81w42",EST,BC/BR in hand,AA,Clifford,15°15,29°21,00°19, Education 
"Abdul-Jabbar, Kareem","Ferdinand Lewis Alcindor, Jr.",M,16 April 1947 at 18:30(= 6:30 PM ),"Harlem (New York County), New York,40n48,  73w57",EST,From memory,A,Rodden,26°08,04°03,25°56, Sports 
"Abdul-Rauf, Mahmoud","Jackson, Chris",M,9 March 1969,"Gulfport, Mississippi,30n22,  89w06",CST,Date w/o time,X,Conrad,,,, Sports 
"Abdul-Wahad, Tariq",Olivier Michel Saint-Jean,M,3 November 1974 at 02:50(= 02:50 AM ),"Maisons Alfort, France,48n48,  2e26",MET,BC/BR in hand,AA,Geslain,10°16,17°50,16°48, Sports 
"Abdul Hamid II, Sultan",Abdul Hamid bin Abdul Mecid,M,21 September 1842 at 19:00(= 7:00 PM ),"Constantinople, Turkey,41n01,  28e58",LMT,Accuracy in question,C,Scholfield,28°16,19°36,25°53, Politics 
"Abdul Muntaqim, Prince of Brunei",A. M. Ibni Haji Al-Muhtadee Billah,M,17 March 2007 at 15:50(= 3:50 PM ),"Bandar Seri Begawan, Brunei,4n56,  114e55",AWST,News report,A,Scholfield,26°20,01°25,15°54,
"Abdullah II, King of Jordan",Abdullah II bin Al-Hussein,M,30 January 1962 at 05:23(= 05:23 AM ),"' Amman, Jordan,31n57,  35e56",EET,From memory,A,Rodden,09°46,23°12,19°21, Military 
"Abdulov, Alexandr Gavrilovich",,M,29 May 1953 at 07:15(= 07:15 AM ),"Tobol'sk, Russian Federation,58n12,  68e16",R4T,From memory,A,Astrobase,07°25,12°07,24°59, Entertainment 
"Abdur-Rahim, Shareef",,M,11 December 1976,"Marietta, Georgia (US),33n57,  84w33",EST,Date w/o time,X,Conrad,,,, Sports 
"Abe, Shinzo",,M,21 September 1954 at 02:35(= 02:35 AM ),"Tokyo, Japan,35n42,  139e46",JST,Orig source not known,C,Metropolitan,27°13,13°11,20°56, Politics 
"Abécassis, Eliette",Eliette Rivka Tamar Messody Abécassis,F,27 January 1969 at 09:50(= 09:50 AM ),"Strassburg, France,48n35,  7e45",MET,BC/BR in hand,AA,Geslain,07°15,29°29,22°57, Education 
"Abegg, Elisabeth",Luise Wilhelmine Elisabeth Abegg,F,3 March 1882 at 01:00(= 01:00 AM ),"Strasbourg, France,48n35,  7e45",LMT,BC/BR in hand,AA,Scholfield,12°22,20°30,02°27, Education 
"Abegg, Wilhelm",Philipp Friedrich Wilhelm Abegg,M,29 August 1876 at 03:00(= 03:00 AM ),"Berlin, Germany,52n29,  13e21",LMT,BC/BR in hand,AA,Scholfield,06°02,01°40,13°21, Law 
"Abeille, Claude",,M,4 March 1930 at 09:20(= 09:20 AM ),"Landerneau, France,48n27,  4w15",GMT,BC/BR in hand,AA,Geslain,13°05,26°49,21°11, Art 
"Abeille, Patrice",Jacques Marie Christophe Abeille,M,9 March 1954 at 05:40(= 05:40 AM ),"Annecy, France,45n54,  6e07",MET,BC/BR in hand,AA,Geslain,18°05,14°48,11°04, Politics 
"Abeille, Valentin",,M,8 August 1907 at 10:00(= 10:00 AM ),"Alençon, France,48n26,  0e05",LST,BC/BR in hand,AA,Geslain,14°41,05°10,09°53, Military 
"Abel, Alan",Alan Daniel Abel,M,6 December 1928 at 20:18(= 8:18 PM ),"Hobart, Indiana,41n32,  87w15",CST,BC/BR in hand,AA,Scholfield,14°45,19°13,07°34, Entertain/Music 
"Abel, Alfred",Alfred Peter Abel,M,12 March 1879 at 23:45(= 11:45 PM ),"Leipzig, Germany,51n19,  12e20",LMT,BC/BR in hand,AA,Steinbrecher,22°01,23°17,23°47, Entertainment 
"Abel, Fred",John Frederick Abel,M,25 May 1909 at 20:00(= 8:00 PM ),"East Dereham, England,52n41,  0e56",GMT,From memory,A,Scholfield,03°56,20°19,05°06, Entertainment 
"Abel, Heidi",,F,21 February 1929 at 21:15(= 9:15 PM ),"Basel, Switzerland,47n33,  7e35",MET,Orig source not known,C,Astrologie Heute,02°44,06°57,09°18, Entertainment 
"Abel, Renée",Renée Bronnec,F,10 October 1907 at 18:30(= 6:30 PM ),"Paris, France,48n52,  2e20",PMT,Quoted BC/BR,AA,Mandl,16°17,28°35,19°27, Beauty 
"Abel, Robert J.",,M,10 March 1937 at 08:15(= 08:15 AM ),"Cleveland, Ohio,41n30,  81w42",EST,Quoted BC/BR,AA,Steinbrecher,19°34,19°51,25°36, Business/Marketing 
"Abel Smith, Lady May",May Helen Emma Cambridge,F,23 January 1906 at 09:25(= 09:25 AM ),"Esher, England,51n23,  0w22",GMT,News report,A,Scholfield,02°29,15°32,12°50,
"Abela, Marisa",Marisa Gabrielle Abela,F,7 December 1996 at 21:00(= 9:00 PM ),"Brighton, England,50n50,  0w08",GMT,Rectified from approx. time,C,Scholfield,16°03,09°32,18°48, Entertainment 
"Abela de la Torre, Aurelio",,M,11 November 1842 at 00:00(= 12:00 midnight ),"Málaga, Spain,36n43,  4w25",LMT,Quoted BC/BR,AA,Castellanos,18°14,28°43,27°03, Sports 
"Abelé, Edmond",Edmond-Marie-Henri Abelé,M,4 March 1925 at 15:00(= 3:00 PM ),"Châlons en Champagne, France,48n57,  4e22",GMT,BC/BR in hand,AA,Geslain,13°32,06°35,17°28, Religion 
"Abelin, Pierre",,M,16 May 1909 at 11:45(= 11:45 AM ),"Poitiers, France,46n35,  0e20",LST,Quoted BC/BR,AA,Steinbrecher,24°56,13°02,28°35, Politics 
"Abell, Bess",Elizabeth Hughes Clements,F,2 June 1933 at 03:45(= 03:45 AM ),"Evansville, Indiana,37n58,  87w33",CST,BC/BR in hand,AA,Scholfield,11°23,22°27,27°32, Business 
"Abell, George",George Ogden Abell,M,1 March 1927 at 22:50(= 10:50 PM ),"Los Angeles, California,34n03,  118w15",PST,BC/BR in hand,AA,Scholfield,10°42,19°13,14°28, Education 
"Abell, Sam",Thad Samuels Abell II,M,19 February 1945 at 14:46(= 2:46 PM ),"Toledo, Ohio,41n40,  83w33",CWT,BC/BR in hand,AA,Steinbrecher,00°49,06°42,21°24, Art 
"Abellera, Jazper",Jazper Grid Abellera,M,5 September 1989 at 19:02(= 7:02 PM ),"Santa Clara, California,37n21,  121w16",PDT,From memory,A,Scholfield,13°28,17°37,05°06, Entertainment 
"Abellio, Raymond",Georges Raymond Alexis Soulès,M,11 November 1907 at 20:00(= 8:00 PM ),"Toulouse, France,43n36,  1e26",LST,BC/BR in hand,AA,Geslain,18°17,06°37,11°39, Engineer 
"Abeln, Ludger",,M,10 June 1964 at 23:43(= 11:43 PM ),"Meppen, Germany,52n41,  7e17",MET,From memory,A,Gregor,20°03,00°55,10°08, Entertainment 
"Abendroth, Hermann",Hermann Maximilian Paul Abendroth,M,19 January 1883 at 16:30(= 4:30 PM ),"Frankfurt am Main, Germany,50n07,  8e40",LMT,BC/BR in hand,AA,Scholfield,29°18,15°22,00°04, Entertain/Music 
"Abendroth, Wolfgang",Wolfgang Walter Arnulf Abendroth,M,2 May 1906 at 19:00(= 7:00 PM ),"Wuppertal, Germany,51n16,  7e11",MET,Quoted BC/BR,AA,Rodden,11°24,22°48,03°03, Education 
"Abenhaim, Lucien",Lucien Lewys Abenhaim,M,23 July 1951 at 07:15(= 07:15 AM ),"Casablanca, Morocco,33n39,  7w35",GMT,BC/BR in hand,AA,Geslain,29°38,29°57,19°16, Medical 
"Aber, Al",Albert Julius Aber,M,31 July 1927 at 21:00(= 9:00 PM ),"Cleveland, Ohio,41n30,  81w42",EST,BC/BR in hand,AA,Steinbrecher,07°50,16°33,07°26, Sports 
"Abernathy, Aaron",,M,31 October 1990 at 00:07(= 12:07 AM ),"Los Angeles, USA,34n04,  118w15",PST,News report,A,Dobyns,07°39,02°18,20°38,
"Abernathy, Ralph",Ralph David Abernathy,M,11 March 1926 at 02:15(= 02:15 AM ),"Linden, Alabama,32n18,  87w48",CST,Quoted BC/BR,AA,CAH,20°01,10°47,07°46, Politics 
"Abernathy, Tom",,M,6 May 1954,"South Bend, Indiana,41n41,  86w15",CDT,Date w/o time,X,Lehman,,,, Sports 
"Abernethy, Catherine M.",Catherine Burruss Poat,F,25 January 1919 at 05:30(= 05:30 AM ),"Richmond, Virginia,37n33,  77w28",EST,BC/BR in hand,AA,Scholfield,04°25,18°00,03°56,
"Abernethy, Virginia",Helen Virginia Deane,F,4 October 1934 at 10:30(= 10:30 AM ),"Havana, Cuba,23n08,  82w22",CST,BC/BR in hand,AA,Scholfield,10°43,25°31,05°10, Education 
"Abert, Hermann",Hermann Joseph Abert,M,25 March 1871 at 03:00(= 03:00 AM ),"Stuttgart, Germany,48n46,  9e11",LMT,BC/BR in hand,AA,Scholfield,04°01,18°35,17°45, Education 
"Abescat, Raymond",Raymond Jean Abescat,M,10 September 1891 at 06:00(= 06:00 AM ),"Paris, France,48n52,  2e20",PMT,BC/BR in hand,AA,Scholfield,17°13,03°01,21°58, Military 
"Abete, Luigi",,M,17 February 1947 at 07:20(= 07:20 AM ),"Rome, Italy,41n54,  12e29",MET,Quoted BC/BR,AA,Bordoni,27°45,14°51,02°05, Business 
"Abetti, Giorgio",,M,5 October 1882 at 16:00(= 4:00 PM ),"Padova, Italy,45n25,  11e53",LST,Quoted BC/BR,AA,Gauquelin,12°16,29°50,29°19, Science 
"Abetz, Otto Friedrich",,M,26 March 1903 at 09:00(= 09:00 AM ),"Schwetzingen, Germany,49n23,  8e34",MET,BC/BR in hand,AA,Steinbrecher,04°30,02°22,11°00, Education 
"Abgrall, Jean-François",Jean-François Jacques Abgrall,M,20 March 1959 at 20:00(= 8:00 PM ),"Cormeilles en Parisis, France,48n59,  2e12",MET,BC/BR in hand,AA,Geslain,29°25,06°24,10°44, Law 
"Abhisheki, Shounak",,M,28 April 1970 at 13:00(= 1:00 PM ),"Mangeshi, India,15n2648,  73e5812",IST,From memory,A,Seth,07°36,02°14,14°33, Entertain/Music 
